0,1,2
1,GBPUSD,"[[1118.94, 135.0], [1069.14, 160.0], [855.77, 110.0], [599.24, 85.0], [424.63, 210.0], [404.66, 185.0], [119.02, 60.0], [50.45, 35.0], [-82.3, 10.0]]"
1,GBPUSD,"[[100.42, 160.0], [72.43, 35.0], [67.97, 135.0], [-50.7, 10.0], [-94.28, 210.0], [-118.48, 185.0], [-129.31, 85.0], [-154.35, 60.0], [-230.08, 110.0]]"
1,GBPUSD,"[[34.83, 35.0], [-30.9, 10.0], [-201.99, 85.0], [-213.46, 60.0], [-473.8, 110.0], [-494.02, 135.0], [-494.07, 160.0], [-494.15, 210.0], [-494.94, 185.0]]"
1,GBPUSD,"[[10.98, 85.0], [0.13, 60.0], [-20.4, 10.0], [-34.82, 110.0], [-86.77, 135.0], [-140.78, 160.0], [-141.67, 35.0], [-230.18, 185.0], [-252.82, 210.0]]"
1,GBPUSD,"[[216.76, 135.0], [108.73, 160.0], [58.96, 110.0], [44.85, 185.0], [-0.67, 35.0], [-27.82, 210.0], [-70.9, 10.0], [-78.55, 85.0], [-226.09, 60.0]]"
1,GBPUSD,"[[54.14, 210.0], [45.03, 185.0], [35.75, 60.0], [18.0, 10.0], [8.01, 160.0], [7.86, 135.0], [1.86, 85.0], [-62.02, 35.0], [-145.73, 110.0]]"
1,GBPUSD,"[[121.0, 210.0], [89.23, 35.0], [81.54, 110.0], [66.43, 60.0], [57.32, 85.0], [52.9, 10.0], [-156.73, 135.0], [-232.12, 160.0], [-256.04, 185.0]]"
1,GBPUSD,"[[78.35, 35.0], [63.58, 210.0], [36.42, 185.0], [27.11, 160.0], [-13.26, 85.0], [-41.9, 10.0], [-71.69, 135.0], [-119.79, 60.0], [-140.69, 110.0]]"
1,GBPUSD,"[[377.31, 160.0], [339.27, 135.0], [236.92, 210.0], [236.92, 185.0], [235.58, 60.0], [167.15, 85.0], [120.99, 35.0], [17.2, 10.0], [-47.06, 110.0]]"
1,GBPUSD,"[[621.96, 110.0], [489.59, 85.0], [486.0, 160.0], [411.74, 135.0], [334.17, 210.0], [300.1, 185.0], [41.2, 10.0], [33.12, 35.0], [-60.32, 60.0]]"
1,GBPUSD,"[[363.24, 85.0], [306.17, 210.0], [273.8, 185.0], [234.24, 60.0], [48.03, 35.0], [-50.84, 10.0], [-103.08, 135.0], [-106.52, 160.0], [-107.05, 110.0]]"
1,GBPUSD,"[[363.24, 85.0], [306.17, 210.0], [273.8, 185.0], [234.24, 60.0], [48.03, 35.0], [-50.84, 10.0], [-103.08, 135.0], [-106.52, 160.0], [-107.05, 110.0]]"
1,GBPUSD,"[[880.97, 160.0], [726.55, 135.0], [662.53, 210.0], [626.65, 185.0], [611.46, 110.0], [440.49, 85.0], [288.26, 60.0], [156.27, 35.0], [-23.0, 10.0]]"
1,GBPUSD,"[[18.8, 10.0], [-11.94, 85.0], [-53.36, 160.0], [-58.57, 35.0], [-60.3, 210.0], [-60.3, 185.0], [-76.09, 60.0], [-131.2, 110.0], [-207.44, 135.0]]"
1,GBPUSD,"[[595.01, 210.0], [565.79, 185.0], [521.13, 160.0], [476.66, 135.0], [447.18, 110.0], [444.46, 85.0], [307.75, 60.0], [45.79, 35.0], [10.6, 10.0]]"
1,GBPUSD,"[[113.92, 35.0], [42.06, 10.0], [-120.16, 60.0], [-142.46, 110.0], [-169.65, 210.0], [-169.65, 185.0], [-169.65, 160.0], [-189.59, 85.0], [-265.54, 135.0]]"
1,GBPUSD,"[[146.4, 210.0], [146.4, 185.0], [142.01, 160.0], [113.74, 135.0], [88.97, 110.0], [52.8, 10.0], [-94.16, 85.0], [-102.16, 35.0], [-272.75, 60.0]]"
1,GBPUSD,"[[15.16, 10.0], [-344.86, 85.0], [-346.48, 210.0], [-346.48, 185.0], [-346.48, 160.0], [-346.48, 135.0], [-356.47, 110.0], [-400.12, 60.0], [-478.16, 35.0]]"
1,GBPUSD,"[[121.19, 35.0], [64.75, 60.0], [-10.1, 10.0], [-122.75, 110.0], [-159.74, 85.0], [-172.25, 135.0], [-224.96, 210.0], [-224.96, 185.0], [-224.96, 160.0]]"
1,GBPUSD,"[[303.64, 210.0], [240.09, 185.0], [195.19, 160.0], [35.35, 35.0], [-10.0, 10.0], [-52.37, 60.0], [-156.75, 85.0], [-161.16, 110.0], [-167.06, 135.0]]"
1,GBPUSD,"[[235.81, 60.0], [16.6, 10.0], [-5.54, 35.0], [-16.3, 85.0], [-48.92, 110.0], [-249.1, 185.0], [-262.73, 210.0], [-321.66, 135.0], [-493.72, 160.0]]"
1,GBPUSD,"[[100.95, 135.0], [45.41, 160.0], [7.4, 10.0], [-37.84, 35.0], [-161.74, 60.0], [-183.84, 85.0], [-197.9, 110.0], [-261.79, 185.0], [-320.09, 210.0]]"
1,GBPUSD,"[[51.96, 160.0], [24.98, 210.0], [24.98, 185.0], [-12.8, 10.0], [-60.18, 35.0], [-63.19, 60.0], [-254.45, 135.0], [-493.76, 110.0], [-494.01, 85.0]]"
1,GBPUSD,"[[182.7, 85.0], [17.1, 10.0], [-16.94, 110.0], [-133.23, 60.0], [-179.27, 35.0], [-220.61, 135.0], [-227.22, 185.0], [-290.06, 160.0], [-494.27, 210.0]]"
1,GBPUSD,"[[182.7, 85.0], [17.1, 10.0], [-16.94, 110.0], [-133.23, 60.0], [-179.27, 35.0], [-220.61, 135.0], [-227.22, 185.0], [-290.06, 160.0], [-494.27, 210.0]]"
1,GBPUSD,"[[258.53, 85.0], [203.57, 110.0], [101.68, 160.0], [101.21, 135.0], [82.61, 35.0], [60.39, 60.0], [42.2, 10.0], [-51.8, 185.0], [-101.8, 210.0]]"
1,GBPUSD,"[[90.35, 160.0], [70.93, 185.0], [62.46, 135.0], [49.12, 210.0], [48.89, 35.0], [-3.6, 10.0], [-183.29, 60.0], [-234.85, 110.0], [-494.34, 85.0]]"
1,GBPUSD,"[[473.92, 160.0], [471.69, 210.0], [438.1, 185.0], [361.13, 135.0], [114.69, 60.0], [-10.8, 10.0], [-103.63, 35.0], [-162.73, 85.0], [-494.06, 110.0]]"
1,GBPUSD,"[[228.66, 110.0], [174.6, 85.0], [147.06, 135.0], [114.79, 60.0], [-113.9, 10.0], [-146.33, 35.0], [-389.1, 160.0], [-483.39, 185.0], [-493.92, 210.0]]"
1,GBPUSD,"[[259.06, 110.0], [237.67, 60.0], [236.06, 85.0], [154.73, 210.0], [79.08, 160.0], [19.4, 10.0], [17.86, 185.0], [-2.03, 35.0], [-125.06, 135.0]]"
1,GBPUSD,"[[233.46, 60.0], [137.2, 210.0], [64.17, 85.0], [0.1, 10.0], [-74.88, 160.0], [-75.36, 35.0], [-91.75, 135.0], [-183.79, 110.0], [-269.55, 185.0]]"
1,GBPUSD,"[[396.28, 135.0], [297.82, 110.0], [203.05, 85.0], [134.4, 160.0], [125.98, 185.0], [103.85, 35.0], [30.9, 10.0], [-44.79, 60.0], [-87.63, 210.0]]"
1,GBPUSD,"[[354.27, 185.0], [323.95, 160.0], [264.31, 135.0], [195.57, 110.0], [180.42, 210.0], [-35.23, 35.0], [-91.58, 85.0], [-182.2, 10.0], [-287.77, 60.0]]"
1,GBPUSD,"[[202.89, 160.0], [144.11, 135.0], [75.52, 210.0], [75.52, 185.0], [68.37, 35.0], [30.9, 10.0], [-143.18, 110.0], [-155.89, 60.0], [-239.98, 85.0]]"
1,GBPUSD,"[[219.5, 110.0], [218.6, 85.0], [197.42, 60.0], [146.09, 210.0], [143.0, 185.0], [106.18, 160.0], [57.84, 135.0], [-18.4, 10.0], [-70.24, 35.0]]"
1,GBPUSD,"[[-0.4, 35.0], [-41.64, 135.0], [-91.1, 10.0], [-189.65, 160.0], [-201.69, 60.0], [-222.68, 110.0], [-279.91, 185.0], [-332.27, 210.0], [-380.31, 85.0]]"
1,GBPUSD,"[[-21.91, 160.0], [-40.7, 10.0], [-45.93, 35.0], [-58.75, 60.0], [-83.23, 185.0], [-119.84, 110.0], [-122.81, 210.0], [-170.78, 85.0], [-318.92, 135.0]]"
1,GBPUSD,"[[-21.91, 160.0], [-40.7, 10.0], [-45.93, 35.0], [-58.75, 60.0], [-83.23, 185.0], [-119.84, 110.0], [-122.81, 210.0], [-170.78, 85.0], [-318.92, 135.0]]"
1,GBPUSD,"[[35.0, 35.0], [-60.03, 60.0], [-80.9, 10.0], [-247.66, 135.0], [-494.21, 110.0], [-494.26, 160.0], [-494.34, 85.0], [-494.4, 210.0], [-494.47, 185.0]]"
1,GBPUSD,"[[192.75, 160.0], [163.52, 135.0], [131.85, 110.0], [-30.1, 10.0], [-105.2, 35.0], [-170.01, 85.0], [-175.93, 185.0], [-240.5, 60.0], [-494.32, 210.0]]"
1,GBPUSD,"[[235.61, 60.0], [183.05, 85.0], [147.44, 210.0], [120.46, 35.0], [-34.83, 135.0], [-71.1, 10.0], [-167.35, 185.0], [-171.68, 110.0], [-494.24, 160.0]]"
1,GBPUSD,"[[437.63, 85.0], [353.28, 210.0], [299.23, 185.0], [288.05, 60.0], [72.36, 35.0], [31.09, 110.0], [20.1, 10.0], [-61.82, 160.0], [-86.95, 135.0]]"
1,GBPUSD,"[[50.5, 35.0], [32.62, 60.0], [27.29, 85.0], [-60.6, 10.0], [-66.11, 185.0], [-109.06, 210.0], [-131.02, 110.0], [-494.74, 160.0], [-494.74, 135.0]]"
1,GBPUSD,"[[239.06, 60.0], [169.89, 210.0], [158.89, 185.0], [128.38, 160.0], [-49.9, 10.0], [-140.44, 35.0], [-157.8, 135.0], [-194.33, 85.0], [-270.33, 110.0]]"
1,GBPUSD,"[[456.96, 210.0], [417.8, 185.0], [315.7, 160.0], [148.07, 60.0], [48.07, 135.0], [41.3, 10.0], [-68.06, 85.0], [-210.54, 35.0], [-494.85, 110.0]]"
1,GBPUSD,"[[287.1, 60.0], [9.63, 35.0], [-70.7, 10.0], [-77.43, 110.0], [-114.85, 85.0], [-124.03, 135.0], [-344.05, 160.0], [-494.74, 210.0], [-494.9, 185.0]]"
1,GBPUSD,"[[240.8, 135.0], [196.59, 110.0], [144.68, 160.0], [52.49, 35.0], [45.94, 185.0], [10.25, 60.0], [7.96, 210.0], [-92.6, 10.0], [-94.5, 85.0]]"
